date,time,id,airline_id,city_id,temperature,humidity,wind_speed,wind_direction,pressure,airport_id
2020-05-19,10:58:00,AA37,173,5922,20,36,4,3,1021,5327
2020-05-16,12:15:00,AF1001,327,2296,18,48,20,3,1017,5327
2020-04-18,10:50:00,AF1301,327,2296,11,87,9,9,1016,5327
2020-04-18,10:50:00,AF1301,327,2296,12,88,11,2,1016,5327
2020-04-19,10:50:00,AF1301,327,2296,12,94,2,10,1011,5327
2020-04-19,10:50:00,AF1301,327,2296,14,82,2,10,1011,5327
2020-04-20,10:50:00,AF1301,327,2296,11,87,2,10,1010,5327
2020-04-20,10:50:00,AF1301,327,2296,12,82,4,6,1010,5327
2020-04-21,10:50:00,AF1301,327,2296,9,87,9,6,1008,5327
2020-04-21,10:50:00,AF1301,327,2296,10,82,9,7,1008,5327
2020-04-22,10:50:00,AF1301,327,2296,14,63,11,3,1014,5327
2020-04-22,10:50:00,AF1301,327,2296,15,59,7,3,1015,5327
2020-05-19,00:00:00,AH2007,7,7100,17,48,10,3,1022,5327
2020-05-16,22:50:00,AM2,610,3809,14,59,24,3,1020,5327
2020-05-17,00:00:00,AM2,610,3809,12,60,22,3,1021,5327
2020-05-17,22:50:00,AM2,610,3809,18,46,8,3,1023,5327
2020-05-18,22:50:00,AM2,610,3809,19,43,12,4,1022,5327
2020-05-19,22:50:00,AM2,610,3809,22,43,7,5,1020,5327
2020-05-12,00:00:00,BA9001,1037,5070,15,72,9,7,1012,5327
2020-05-12,00:00:00,BA9001,1037,5070,15,77,11,7,1012,5327
2020-05-17,00:00:00,BA9001,1037,5070,12,60,22,3,1021,5327
2020-04-18,00:00:00,C2501,300,2028,11,87,0,1,1016,5327
2020-04-18,00:00:00,C2501,300,2028,11,87,6,2,1016,5327
2020-04-19,00:00:00,C2501,300,2028,15,72,13,9,1011,5327
2020-04-19,00:00:00,C2501,300,2028,15,72,9,2,1011,5327
2020-04-19,00:00:00,C2501,300,2028,15,77,7,5,1012,5327
2020-04-20,00:00:00,C2501,300,2028,12,76,6,3,1010,5327
2020-04-20,00:00:00,C2501,300,2028,12,76,7,9,1010,5327
2020-04-22,00:00:00,C2501,300,2028,13,62,11,2,1011,5327
2020-04-22,00:00:00,C2501,300,2028,13,62,13,2,1011,5327
2020-05-19,00:00:00,C2501,300,2028,17,48,10,3,1022,5327
2020-04-18,00:00:00,CU471,255,1887,11,87,0,1,1016,5327
2020-04-18,00:00:00,CU471,255,1887,11,87,6,2,1016,5327
2020-04-19,00:00:00,CU471,255,1887,15,72,13,9,1011,5327
2020-04-19,00:00:00,CU471,255,1887,15,72,9,2,1011,5327
2020-04-19,00:00:00,CU471,255,1887,15,77,7,5,1012,5327
2020-04-20,00:00:00,CU471,255,1887,12,76,6,3,1010,5327
2020-04-20,00:00:00,CU471,255,1887,12,76,7,9,1010,5327
2020-04-22,00:00:00,CU471,255,1887,13,62,11,2,1011,5327
2020-04-22,00:00:00,CU471,255,1887,13,62,13,2,1011,5327
2020-05-19,00:00:00,CU471,255,1887,17,48,10,3,1022,5327
2020-05-12,00:00:00,E9825,17000,1872,15,72,9,7,1012,5327
2020-05-12,00:00:00,E9825,17000,1872,15,77,11,7,1012,5327
2020-05-17,00:00:00,E9825,17000,1872,12,60,22,3,1021,5327
2020-05-12,00:00:00,FR5374,489,3294,15,72,9,7,1012,5327
2020-05-12,00:00:00,FR5374,489,3294,15,77,11,7,1012,5327
2020-05-17,00:00:00,FR5374,489,3294,12,60,22,3,1021,5327
2020-05-12,00:00:00,FR5991,489,1178,15,72,9,7,1012,5327
2020-05-12,00:00:00,FR5991,489,1178,15,77,11,7,1012,5327
2020-05-17,00:00:00,FR5991,489,1178,12,60,22,3,1021,5327
2020-05-12,00:00:00,FR5995,489,1178,15,72,9,7,1012,5327
2020-05-12,00:00:00,FR5995,489,1178,15,77,11,7,1012,5327
2020-05-17,00:00:00,FR5995,489,1178,12,60,22,3,1021,5327
2020-05-12,00:00:00,FR5997,489,1178,15,72,9,7,1012,5327
2020-05-12,00:00:00,FR5997,489,1178,15,77,11,7,1012,5327
2020-05-17,00:00:00,FR5997,489,1178,12,60,22,3,1021,5327
2020-05-12,00:00:00,FR607,489,1925,15,72,9,7,1012,5327
2020-05-12,00:00:00,FR607,489,1925,15,77,11,7,1012,5327
