id,date,time,airline_id,city_id,airport_id,temperature,wind_direction,wind_speed,delay
0B104,2019-10-11,11:05:00,743,4505,5327,18,2,6,1
0B104,2019-10-16,18:55:00,743,4505,5327,19,7,15,1
0B104,2019-10-18,11:05:00,743,4505,5327,17,6,15,1
0B104,2019-10-23,18:55:00,743,4505,5327,11,7,9,1
0B104,2019-10-25,11:05:00,743,4505,5327,12,1,0,0
2L2021,2019-10-13,09:55:00,934,5245,5327,13,2,7,1
2L2021,2019-10-16,09:55:00,934,5245,5327,7,3,2,1
2L2021,2019-10-19,09:55:00,934,5245,5327,12,6,9,0
2L2021,2019-10-20,09:55:00,934,5245,5327,10,7,19,1
2L2021,2019-10-23,09:55:00,934,5245,5327,8,8,9,0
2L2021,2019-10-26,09:55:00,934,5245,5327,6,3,4,1
2L2021,2019-11-09,10:00:00,934,5245,5327,9,8,13,0
2L2033,2019-10-10,19:40:00,934,5245,5327,26,2,6,1
2L2033,2019-10-12,19:40:00,934,5245,5327,27,6,11,1
2L2033,2019-10-13,19:40:00,934,5245,5327,24,6,9,0
2L2033,2019-10-14,19:40:00,934,5245,5327,13,7,32,1
2L2033,2019-10-15,19:40:00,934,5245,5327,16,7,13,1
2L2033,2019-10-16,19:40:00,934,5245,5327,19,7,15,0
2L2033,2019-10-17,19:40:00,934,5245,5327,17,7,7,1
2L2033,2019-10-19,19:40:00,934,5245,5327,17,5,15,1
2L2033,2019-10-20,19:40:00,934,5245,5327,13,7,15,1
2L2033,2019-10-21,19:40:00,934,5245,5327,15,6,6,1
2L2033,2019-10-22,19:40:00,934,5245,5327,9,1,0,1
2L2033,2019-10-23,19:40:00,934,5245,5327,11,6,7,0
2L2033,2019-10-24,19:40:00,934,5245,5327,16,6,13,0
2L2033,2019-10-26,19:40:00,934,5245,5327,22,6,6,0
3O392,2019-10-11,10:40:00,628,3894,5327,16,9,7,0
3O392,2019-10-13,10:40:00,628,3894,5327,15,2,6,0
3O392,2019-10-14,10:40:00,628,3894,5327,19,7,28,0
3O392,2019-10-15,16:05:00,628,3894,5327,17,7,20,1
3O392,2019-10-16,10:40:00,628,3894,5327,10,10,2,0
3O392,2019-10-18,10:40:00,628,3894,5327,16,6,13,1
3O392,2019-10-20,10:40:00,628,3894,5327,11,7,15,1
3O392,2019-10-21,10:40:00,628,3894,5327,6,9,6,0
3O392,2019-10-22,16:05:00,628,3894,5327,11,3,15,0
3O392,2019-10-23,10:40:00,628,3894,5327,8,8,6,0
3O392,2019-10-25,10:40:00,628,3894,5327,8,10,4,0
3O392,2019-10-28,10:40:00,628,3894,5327,13,10,2,1
